index_code,expected_period,effective_date,symbol,universe_mode,qualification_scope
931152,2021-12,2021-12-13,600216,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600267,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600276,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600380,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600535,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600673,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600812,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,600867,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,601607,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,603127,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,603259,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,603456,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,603858,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688180,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688185,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688266,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688321,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688366,point_in_time,historical_design_research_input_only
931152,2021-12,2021-12-13,688520,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,000513,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,000661,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,000963,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002007,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002019,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002038,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002317,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002399,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002422,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002653,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002675,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002773,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002793,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,002821,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300003,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300009,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300122,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300142,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300149,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300199,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300238,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300347,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300357,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300363,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300404,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300558,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300601,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300725,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,300759,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600079,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600196,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600216,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600267,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600276,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600380,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600535,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600673,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600812,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,600867,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,601607,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,603127,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,603259,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,603456,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,603858,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688180,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688185,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688266,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688321,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688366,point_in_time,historical_design_research_input_only
931152,2022-06,2022-06-13,688520,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,000513,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,000661,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,000963,point_in_time,historical_design_research_input_only
