symbol,effective_start,effective_end,source_index,universe_mode,source_scope,source_identity,source_artifact_id,source_artifact_sha256,source_member_file_sha256,source_reference
300122,2019-12-16,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300149,2019-12-16,2022-06-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300238,2019-12-16,2021-06-14,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300404,2019-12-16,2021-06-14,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300759,2019-12-16,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600380,2019-12-16,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600812,2019-12-16,2023-06-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
603456,2019-12-16,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
000661,2020-06-15,2023-12-10,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002038,2020-06-15,2023-06-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002793,2020-06-15,2021-12-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300142,2020-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600079,2020-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600673,2020-06-15,2021-12-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
603858,2020-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002007,2020-12-14,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300199,2020-12-14,2021-06-14,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688321,2020-12-14,2023-12-10,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002099,2021-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
300363,2021-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
